Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2019/9/16, 02:00:00, 27407, 27430, 27178, 27292, 82934, 73471, 41144, 41790
2019/9/16, 06:00:00, 27292, 27338, 27226, 27273, 40279, 36035, 19833, 20446
2019/9/16, 10:00:00, 27269, 27309, 27257, 27288, 5107, 4686, 2580, 2527
2019/9/16, 14:00:00, 27286, 27311, 27200, 27217, 9570, 8546, 4795, 4775
2019/9/16, 18:00:00, 27218, 27228, 27193, 27222, 1250, 1086, 676, 574
2019/9/17, 02:00:00, 27251, 27259, 27054, 27088, 74137, 65807, 37122, 37015
2019/9/17, 06:00:00, 27085, 27085, 26895, 26966, 60142, 51686, 29527, 30615
2019/9/17, 10:00:00, 26966, 26986, 26928, 26945, 5480, 4835, 2729, 2751
2019/9/17, 14:00:00, 26947, 27074, 26922, 27034, 11658, 10188, 5397, 6261
2019/9/17, 18:00:00, 27035, 27084, 27033, 27060, 1759, 1530, 830, 929
2019/9/18, 02:00:00, 27043, 27129, 26987, 27026, 68632, 62375, 34309, 34323
2019/9/18, 06:00:00, 27023, 27044, 26945, 26950, 39805, 35967, 20219, 19586
2019/9/18, 10:00:00, 26939, 26992, 26929, 26990, 3558, 3227, 1760, 1798
2019/9/18, 14:00:00, 26990, 27004, 26935, 26949, 6618, 5825, 3436, 3182
2019/9/18, 18:00:00, 26950, 26987, 26782, 26848, 5686, 4527, 2964, 2722
2019/9/19, 02:00:00, 26980, 27050, 26630, 26644, 100126, 86888, 50840, 49286
2019/9/19, 06:00:00, 26643, 26729, 26564, 26708, 66869, 58250, 32700, 34169
2019/9/19, 10:00:00, 26716, 26788, 26704, 26784, 6209, 5342, 2852, 3357
2019/9/19, 14:00:00, 26785, 26840, 26760, 26794, 10088, 8912, 4940, 5148
2019/9/19, 18:00:00, 26795, 26819, 26739, 26741, 1948, 1709, 1112, 836
2019/9/20, 02:00:00, 26757, 26816, 26685, 26714, 71802, 62790, 35827, 35975
2019/9/20, 06:00:00, 26715, 26755, 26625, 26644, 50258, 44426, 25541, 24717
2019/9/20, 10:00:00, 26652, 26690, 26598, 26632, 6309, 5715, 3217, 3092
2019/9/20, 14:00:00, 26634, 26665, 26593, 26628, 8439, 7473, 4039, 4400
2019/9/20, 18:00:00, 26628, 26635, 26437, 26533, 6168, 5151, 3415, 2753
2019/9/23, 02:00:00, 26619, 26743, 26414, 26438, 94179, 79239, 46794, 47385
2019/9/23, 06:00:00, 26438, 26567, 26338, 26352, 60486, 52005, 29970, 30516
2019/9/23, 10:00:00, 26358, 26411, 26340, 26402, 6371, 5163, 2957, 3414
2019/9/23, 14:00:00, 26402, 26494, 26387, 26469, 13129, 11297, 6325, 6804
2019/9/23, 18:00:00, 26469, 26500, 26466, 26481, 1305, 1135, 635, 670
2019/9/24, 02:00:00, 26567, 26650, 26445, 26547, 103936, 80092, 47288, 56648
2019/9/24, 06:00:00, 26547, 26566, 26475, 26513, 56610, 41122, 27344, 29266
